shop_code,part_no,part_desc,related_order_count,expected_qty,linked_issued_qty,orphan_issue_qty,orphan_issue_count,late_issue_count,physical_qty,system_qty,count_gap,criticality,unit_cost,cause_category,discrepancy_score,severity,order_ids,likely_cause,reviewer_action
AUR,PN-BPAD-013,Front brake pad set,4.0,4.0,2.0,1.0,1.0,0.0,18,22,4,HIGH,86.5,MISSING_LINKED_ISSUE,130,URGENT,"RO-L-2001, RO-L-2008, RO-L-2014, RO-L-2032",Potential investigation item: 1 released order-part line has no linked issue record; 1 linked issue line is below required quantity; 1 issue record cannot be tied to a valid repair order; cycle count shows physical quantity lower than system by 4; more than one operational discrepancy signal appears in the recent window. This is not a final cause determination.,"Next confirmation: check whether the part was issued under another order, a manual ticket, or an unposted issue; compare the repair file, estimate card, and issue ticket quantity; confirm the intended order number or whether this was a shop-floor adjustment; use the count result as confirmation evidence after checking earlier transaction records; review repeated handling pattern for this shop-part combination."
RIV,PN-THER-118,Thermostat,1.0,1.0,0.0,1.0,1.0,0.0,7,8,1,HIGH,37.4,MISSING_LINKED_ISSUE,95,URGENT,RO-L-2003,Potential investigation item: 1 released order-part line has no linked issue record; 1 issue record cannot be tied to a valid repair order; cycle count shows physical quantity lower than system by 1; more than one operational discrepancy signal appears in the recent window. This is not a final cause determination.,"Next confirmation: check whether the part was issued under another order, a manual ticket, or an unposted issue; confirm the intended order number or whether this was a shop-floor adjustment; use the count result as confirmation evidence after checking earlier transaction records; review repeated handling pattern for this shop-part combination."
NOR,PN-BPAD-013,Front brake pad set,2.0,2.0,1.0,0.0,0.0,0.0,15,17,2,HIGH,86.5,UNDER_ISSUED,60,REVIEW_SOON,"RO-L-2016, RO-L-2028",Potential investigation item: 1 linked issue line is below required quantity; cycle count shows physical quantity lower than system by 2. This is not a final cause determination.,"Next confirmation: compare the repair file, estimate card, and issue ticket quantity; use the count result as confirmation evidence after checking earlier transaction records."
RIV,PN-CALP-044,Brake caliper,1.0,2.0,1.0,0.0,0.0,0.0,4,5,1,HIGH,132.0,UNDER_ISSUED,60,REVIEW_SOON,RO-L-2021,Potential investigation item: 1 linked issue line is below required quantity; cycle count shows physical quantity lower than system by 1. This is not a final cause determination.,"Next confirmation: compare the repair file, estimate card, and issue ticket quantity; use the count result as confirmation evidence after checking earlier transaction records."
ALB,PN-COOL-110,Radiator hose,1.0,1.0,0.0,0.0,0.0,0.0,8,9,1,HIGH,42.75,UNDER_ISSUED,55,REVIEW_SOON,RO-L-2024,Potential investigation item: 1 linked issue line is below required quantity; cycle count shows physical quantity lower than system by 1. This is not a final cause determination.,"Next confirmation: compare the repair file, estimate card, and issue ticket quantity; use the count result as confirmation evidence after checking earlier transaction records."
NOR,PN-CABF-210,Cabin air filter,1.0,1.0,1.0,0.0,0.0,1.0,11,12,1,MEDIUM,24.5,LATE_ISSUE,30,MONITOR,RO-L-2010,Potential investigation item: 1 issue record was posted more than 30 minutes after release; cycle count shows physical quantity lower than system by 1. This is not a final cause determination.,Next confirmation: confirm whether the issue was entered after the vehicle left; use the count result as confirmation evidence after checking earlier transaction records.
RIV,PN-COOL-110,Radiator hose,2.0,2.0,2.0,0.0,0.0,0.0,11,12,1,HIGH,42.75,CYCLE_COUNT_CONFIRMATION,15,MONITOR,"RO-L-2003, RO-L-2009",Potential investigation item: cycle count shows physical quantity lower than system by 1. This is not a final cause determination.,Next confirmation: use the count result as confirmation evidence after checking earlier transaction records.
ALB,PN-BELT-155,Serpentine belt,1.0,1.0,1.0,0.0,0.0,0.0,17,17,0,HIGH,39.75,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2012,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
ALB,PN-OILF-205,Oil filter,1.0,1.0,1.0,0.0,0.0,0.0,41,41,0,MEDIUM,9.8,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2018,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
ALB,PN-SPRK-410,Spark plug,1.0,4.0,4.0,0.0,0.0,0.0,36,36,0,MEDIUM,11.25,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2006,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
